model,metric,direction,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,confidence_level,resamples,valid_resamples
mean_baseline,mae,min,0.09722685733333333,0.09714839304505556,0.004766630573030419,0.08790994005555555,0.10665950631388889,0.95,1000,1000
mean_baseline,rmse,min,0.11290290886798957,0.11276622353134376,0.004853351056952619,0.10342965646453174,0.12193698773633849,0.95,1000,1000
mean_baseline,spearman,max,-0.07174442724917014,-0.07120746013586836,0.07931967844364697,-0.23360331240748866,0.07488701985194123,0.95,1000,1000
mean_baseline,kendall,max,-0.05125285924134016,-0.050898641007276695,0.058179762392902415,-0.17047260591710775,0.05704372383407182,0.95,1000,1000
mean_baseline,accuracy,max,0.6666666666666666,0.6671733333333334,0.038773444549387755,0.5933333333333334,0.74,0.95,1000,1000
mean_baseline,macro_f1,max,0.26666666666666666,0.2665718968600249,0.009315887800480224,0.2482566248256625,0.2835249042145594,0.95,1000,1000
prior_only_baseline,mae,min,0.11182212466744895,0.11173536935368221,0.0058429128803114,0.10051197156521335,0.12291608716078958,0.95,1000,1000
prior_only_baseline,rmse,min,0.13211309386475656,0.13187221726270254,0.005972905796356783,0.1204224815206327,0.14367533269807126,0.95,1000,1000
prior_only_baseline,spearman,max,0.8590515134005956,0.8553279471322021,0.023880513560772105,0.7992788553696523,0.8961657268931361,0.95,1000,1000
prior_only_baseline,kendall,max,0.6665771812080536,0.6667889164584374,0.027385712020625133,0.6057265435434832,0.7150844276635409,0.95,1000,1000
prior_only_baseline,accuracy,max,0.5133333333333333,0.5137999999999999,0.04123286356690274,0.43333333333333335,0.6,0.95,1000,1000
prior_only_baseline,macro_f1,max,0.3931547300596369,0.3910209606234482,0.03641767051635196,0.3205668334221306,0.4621555757891758,0.95,1000,1000
theta_only_baseline,mae,min,0.3041245324865814,0.3038979117450342,0.016280580923334977,0.2726692968859081,0.3348737938302314,0.95,1000,1000
theta_only_baseline,rmse,min,0.36054419164092977,0.36009445988746475,0.014838877947524583,0.3307207124480079,0.3884519877644939,0.95,1000,1000
theta_only_baseline,spearman,max,0.8666891861860527,0.863614470673921,0.023418022539487424,0.8105942831925315,0.9030100245786994,0.95,1000,1000
theta_only_baseline,kendall,max,0.6774944071588367,0.6782422963847478,0.027289864752074205,0.6191228679478274,0.727267217911433,0.95,1000,1000
theta_only_baseline,accuracy,max,0.34,0.33952,0.03810248255632082,0.26666666666666666,0.41333333333333333,0.95,1000,1000
theta_only_baseline,macro_f1,max,0.3430737205922784,0.34145258246608573,0.024995041649584007,0.29477408749786804,0.39149518931400107,0.95,1000,1000
chapter5_model,mae,min,0.15924416685631146,0.15912112042513882,0.00943075011321396,0.1405341873992505,0.17797414370352796,0.95,1000,1000
chapter5_model,rmse,min,0.19440271102220305,0.19409611308912667,0.008594616494077003,0.1767722536115618,0.21065990400065673,0.95,1000,1000
chapter5_model,spearman,max,0.881768967509667,0.8785732158827589,0.022542317826106804,0.8273055976156682,0.9136315535631095,0.95,1000,1000
chapter5_model,kendall,max,0.6993288590604027,0.6999236546790361,0.0278570352942672,0.640935744730385,0.7475942569839894,0.95,1000,1000
chapter5_model,accuracy,max,0.44666666666666666,0.4472866666666666,0.04149275068575933,0.36666666666666664,0.5266666666666666,0.95,1000,1000
chapter5_model,macro_f1,max,0.42251516924389226,0.4213444854980893,0.02860370648095462,0.3667620359506435,0.4772037968634112,0.95,1000,1000
