baseline,metric,direction,delta_definition,point_delta,bootstrap_mean_delta,bootstrap_std_delta,ci_lower,ci_upper,confidence_level,resamples,valid_resamples,ci_includes_zero,conclusion
mean_baseline,mae,min,metric_chapter5_model - metric_baseline,0.062017309522978126,0.06197272738008326,0.010978432378457845,0.039977516122346346,0.08316233277204514,0.95,1000,1000,False,baseline_favored
mean_baseline,rmse,min,metric_chapter5_model - metric_baseline,0.08149980215421349,0.0813298895577829,0.010318463843754828,0.06200066354194115,0.10106609899863814,0.95,1000,1000,False,baseline_favored
mean_baseline,spearman,max,metric_chapter5_model - metric_baseline,0.9535133947588372,0.9497806760186274,0.08206682931982043,0.7945381937794586,1.1085640595323645,0.95,1000,1000,False,chapter5_model_favored
mean_baseline,kendall,max,metric_chapter5_model - metric_baseline,0.7505817183017428,0.7508222956863128,0.064166665338255,0.631863731930685,0.8731483828034635,0.95,1000,1000,False,chapter5_model_favored
mean_baseline,accuracy,max,metric_chapter5_model - metric_baseline,-0.21999999999999997,-0.21988666666666665,0.06527363788972478,-0.3466666666666667,-0.09333333333333327,0.95,1000,1000,False,baseline_favored
mean_baseline,macro_f1,max,metric_chapter5_model - metric_baseline,0.1558485025772256,0.15477258863806428,0.02987911641612197,0.10013927979801637,0.2115135689678908,0.95,1000,1000,False,chapter5_model_favored
prior_only_baseline,mae,min,metric_chapter5_model - metric_baseline,0.04742204218886251,0.047385751071456594,0.007220862031768889,0.033286647215719015,0.061162645601974874,0.95,1000,1000,False,baseline_favored
prior_only_baseline,rmse,min,metric_chapter5_model - metric_baseline,0.06228961715744649,0.06222389582642411,0.0059871181061653955,0.04969717419118661,0.07341291667327857,0.95,1000,1000,False,baseline_favored
prior_only_baseline,spearman,max,metric_chapter5_model - metric_baseline,0.022717454109071444,0.02324526875055687,0.013283364145799108,-0.0022452452330130332,0.05065988745566042,0.95,1000,1000,True,no_stable_difference
prior_only_baseline,kendall,max,metric_chapter5_model - metric_baseline,0.032751677852349004,0.03313473822059862,0.01697199172536652,-0.0003827907896505795,0.06809038486227356,0.95,1000,1000,True,no_stable_difference
prior_only_baseline,accuracy,max,metric_chapter5_model - metric_baseline,-0.06666666666666665,-0.06651333333333334,0.04327308817452436,-0.14683333333333323,0.013333333333333364,0.95,1000,1000,True,no_stable_difference
prior_only_baseline,macro_f1,max,metric_chapter5_model - metric_baseline,0.02936043918425535,0.03032352487464105,0.03101368136548794,-0.02832888216943988,0.09152924037801025,0.95,1000,1000,True,no_stable_difference
theta_only_baseline,mae,min,metric_chapter5_model - metric_baseline,-0.14488036563026993,-0.14477679131989538,0.00896292808685319,-0.16230004556700964,-0.1272445902390193,0.95,1000,1000,False,chapter5_model_favored
theta_only_baseline,rmse,min,metric_chapter5_model - metric_baseline,-0.16614148061872672,-0.16599834679833805,0.008338328983094483,-0.1828177797015889,-0.14927115342525485,0.95,1000,1000,False,chapter5_model_favored
theta_only_baseline,spearman,max,metric_chapter5_model - metric_baseline,0.015079781323614316,0.014958745208837883,0.011321055725651133,-0.007146507456957406,0.036061090969362934,0.95,1000,1000,True,no_stable_difference
theta_only_baseline,kendall,max,metric_chapter5_model - metric_baseline,0.021834451901565965,0.02168135829428828,0.015657665397787977,-0.007938367273382558,0.05097859224629164,0.95,1000,1000,True,no_stable_difference
theta_only_baseline,accuracy,max,metric_chapter5_model - metric_baseline,0.10666666666666663,0.10776666666666666,0.030994903086647718,0.04666666666666669,0.16666666666666669,0.95,1000,1000,False,chapter5_model_favored
theta_only_baseline,macro_f1,max,metric_chapter5_model - metric_baseline,0.07944144865161384,0.07989190303200353,0.02315299284563764,0.03319876735933102,0.12616190279260747,0.95,1000,1000,False,chapter5_model_favored
